Ingredient,Molecule,PubChem_ID,conc_level
Bread,Methyl jasmonate,5367719.0,0.884
Bread,"3,4-Dihydroxybenzoic Acid",72.0,126.0502
Bread,nicotine,89594.0,7.8168
Bread,kaempferol,5280863.0,0.2724
Bread,1-Hexanol,8103.0,219.5371
Bread,hydrogen sulfide,402.0,1.461
Bread,Isovaleric Acid,10430.0,149.8589
Bread,CID 644104,644104.0,9.0118
Bread,Taxifolin,439533.0,5.3437
Bread,D-mannitol,6251.0,0.3901
Bread,2-Pentanone,7895.0,0.8411
Bread,indole-3-acetic acid,802.0,85.0231
Bread,3-Methyl-2-oxobutanoic acid,49.0,94.2787
Bread,1-Pyrroline,79803.0,7.2731
Bread,ethyl acetoacetate,8868.0,7.1622
Bread,Menthone,26447.0,6.3839
Bread,Geranyl Acetate,1549026.0,14.5427
Bread,cis-3-Hexenyl acetate,5363388.0,12.378
Bread,Acetylpyrazine,30914.0,26.9859
Bread,Allyl Alcohol,7858.0,140.5459
Bread,Pyrrolidine,31268.0,5.2745
Bread,naringenin,439246.0,3.7884
Bread,Isobutyraldehyde,6561.0,75.9495
Bread,6-Methyl-5-Hepten-2-One,9862.0,12.712
Bread,3-(Methylthio)propionaldehyde (PubChem ID: 18635),,51.4288
Bread,Octanal,454.0,19.1196
Bread,Thiamine Hydrochloride,6202.0,5.6825
Bread,hydrogen cyanide,768.0,0.0168
Bread,Benzyl Benzoate,2345.0,1.8729
Bread,trans-3-Hexen-1-ol,5284503.0,1.9746
Bread,Ethyl Acetate,8857.0,12.9922
Bread,4-Hexen-3-One,5365811.0,43.6874
Bread,Neral,643779.0,0.7507
Bread,Decanoic acid,2969.0,114.2571
Bread,2-Furaldehyde,7362.0,98.4894
Bread,3-Methyl-2-butenal,61020.0,6.2406
Bread,3-Pentanone,7288.0,0.7763
Bread,14400-67-0,85730.0,0.141
Bread,1-propanol,1031.0,344.9385
Bread,2-Pentylfuran,19602.0,186.3063
Bread,Heptanal,8130.0,28.9162
Bread,acetone,180.0,34.427
Bread,2-Butanone,6569.0,7.5218
Bread,D-Lactic acid,61503.0,98.7764
Bread,4-hydroxybenzaldehyde,126.0,57.2477
Bread,luteolin,5280445.0,5.6103
Bread,p-coumaric acid,637542.0,199.1366
Rye Bread,2-Methylbutyl Acetate,12209.0,3.4857
Rye Bread,3-methylthiopropanol,10448.0,303.0614
Rye Bread,cis-Cinnamic acid,5372954.0,52.9548
Rye Bread,Vanillic acid,8468.0,40.6509
Rye Bread,Violet leaf aldehyde,643731.0,81.6277
Rye Bread,Ethyl Lactate,7344.0,16.0313
Rye Bread,3-(Methylthio)propionaldehyde (PubChem ID: 18635),,27.8264
Rye Bread,Damascenone,5366074.0,8.3216
Rye Bread,2-Ethyl-5-Methylpyrazine,25915.0,95.6618
Rye Bread,Thiamine Hydrochloride,6202.0,6.4711
Rye Bread,Heptanoic Acid,8094.0,5.3144
Rye Bread,guaiacol,460.0,5.041
Rye Bread,Methyl Hexanoate,7824.0,4.064
Rye Bread,vanillin,1183.0,7.7742
Rye Bread,Isoamyl Acetate,31276.0,0.4573
Rye Bread,"3,4-Dihydroxybenzoic Acid",72.0,154.003
Rye Bread,2-Methoxy-4-vinylphenol,332.0,49.342
Rye Bread,Propyl acetate,7997.0,2.9928
Rye Bread,Pyridine,1049.0,117.4689
Rye Bread,Maltol,8369.0,7.1502
Rye Bread,23747-48-0,32065.0,4.3837
Rye Bread,thiamine,1130.0,3.5406
Rye Bread,CID 644104,644104.0,5.9872
Rye Bread,1-Penten-3-Ol,12020.0,5.4218
Rye Bread,Ethyl Palmitate,12366.0,0.6238
Rye Bread,Phenylacetic Acid,999.0,47.8365
Rye Bread,Isobutyraldehyde,6561.0,36.2501
Rye Bread,Nonanoic Acid,8158.0,36.3171
Rye Bread,Hexyl acetate,8908.0,13.6344
Rye Bread,3658-77-3,19309.0,0.6259
Wheaten Bread,Difurfuryl ether,263034.0,7.683
Wheaten Bread,2-Undecanone,8163.0,8.862
Wheaten Bread,Octyl acetate,8164.0,2.4635
Wheaten Bread,Furfuryl acetate,12170.0,11.7212
Wheaten Bread,2-Furylacetone,228583.0,14.7119
Wheaten Bread,3-Acetylpyridine,9589.0,160.229
Wheaten Bread,"2,4-Hexadienal",637564.0,2.338
Wheaten Bread,Dimethyl trisulfide,19310.0,0.592
Wheaten Bread,2-Phenylethyl formate,7711.0,10.5883
Wheaten Bread,methylglyoxal,880.0,3.3268
Wheaten Bread,Acetylpyrazine,30914.0,153.3991
Wheaten Bread,Pyrrole,8027.0,24.279
Wheaten Bread,"2,3-Pentanedione",11747.0,9.1594
Wheaten Bread,"2,3,5-Trimethylpyrazine",26808.0,135.6292
Wheaten Bread,phenol,996.0,35.858
Wheaten Bread,"2,6-Dimethyl-4-heptanone",7958.0,7.2297
Wheaten Bread,Pyridine,1049.0,22.4562
Wheaten Bread,2-Acetylpyridine,14286.0,166.0444
Wheaten Bread,2-Octen-4-one,5365891.0,42.796
Wheaten Bread,Pyruvic acid,1060.0,126.5543
Wheaten Bread,2-Ethylbutyric Acid,6915.0,93.6438
Wheaten Bread,2-Pentadecanone,61303.0,0.2035
Wheaten Bread,"2-Ethyl-3,5-Dimethylpyrazine",26334.0,170.361
Wheaten Bread,2-Pentanone,7895.0,7.1839
Wheaten Bread,Ethyl Nonanoate,31251.0,1.7462
Wheaten Bread,2-Ethylbutanal,7359.0,84.654
Wheaten Bread,Piperidine,8082.0,3.0696
Wheaten Bread,trimethylamine,1146.0,6.0309
Wheaten Bread,gamma-Valerolactone,7921.0,1.5175
Wheaten Bread,2-Pentanol,22386.0,486.9521
White Bread,2-Furaldehyde,7362.0,21.1047
White Bread,3-Methyl-2-Buten-1-Ol,11173.0,9.3145
White Bread,Ethyl Levulinate,10883.0,9.5714
White Bread,3-Methyl-2-butenal,61020.0,7.8403
White Bread,alpha-Angelica lactone,11559.0,2.7363
White Bread,Furfuryl Alcohol,7361.0,159.2072
White Bread,Furfuryl acetate,12170.0,7.3391
White Bread,2-Ethylbutanal,7359.0,53.9238
White Bread,Dl-Phenylalanine,994.0,0.4423
White Bread,L-aspartic acid,5960.0,54.7165
White Bread,methylglyoxal,880.0,0.514
White Bread,2-Octen-4-one,5365891.0,21.2127
White Bread,L-phenylalanine,6140.0,9.6363
Wholewheat Bread,4-Methyl-2-pentanone,7909.0,0.3896
Wholewheat Bread,2-Methyltetrahydrofuran-3-One,18522.0,118.6853
Wholewheat Bread,Ethyl Undecanoate,12327.0,1.8627
Wholewheat Bread,"5,6,7,8-Tetrahydroquinoxaline",36822.0,5.2754
Wholewheat Bread,(-)-Epigallocatechin gallate (PubChem ID: 65064),,0.3866
Wholewheat Bread,(-)-Epicatechin gallate (PubChem ID: 107905),,4.9111
Wholewheat Bread,Violet leaf aldehyde,643731.0,18.0564
Wholewheat Bread,Ethyl Lactate,7344.0,17.8716
Wholewheat Bread,trans-2-Octenal,5283324.0,2.5963
Wholewheat Bread,1-Octen-3-Ol,18827.0,8.0034
Wholewheat Bread,3-(Methylthio)propionaldehyde (PubChem ID: 18635),,55.7886
Wholewheat Bread,lactic acid,612.0,18.0534
Wholewheat Bread,trans-2-Pentenal,5364752.0,4.3733
Wholewheat Bread,2-Ethyl-5-Methylpyrazine,25915.0,116.3072
Wholewheat Bread,1-octanol,957.0,332.0301
Wholewheat Bread,Thiamine Hydrochloride,6202.0,6.57
Wholewheat Bread,Ethyl Levulinate,10883.0,5.2568
Wholewheat Bread,"2,3,5,6-Tetramethylpyrazine",14296.0,11.4271
Wholewheat Bread,Heptanoic Acid,8094.0,128.3436
Wholewheat Bread,isopropanol,3776.0,275.4104
Wholewheat Bread,acetoin,179.0,9.2929
Wholewheat Bread,2-Nonanone,13187.0,1.6103
Wholewheat Bread,Isoamyl Acetate,31276.0,1.656
Wholewheat Bread,"3,3-Dimethylacrylic acid",10931.0,64.1721
Wholewheat Bread,"3-Methylcyclopentane-1,2-dione",61209.0,3.7661
Wholewheat Bread,Levulinic Acid,11579.0,162.5235
Wholewheat Bread,Dodecanal,8194.0,52.801
Wholewheat Bread,trans-2-Nonenal,5283335.0,4.2383
Wholewheat Bread,(-)-Epigallocatechin (PubChem ID: 72277),,0.8412
Wholewheat Bread,1-Furfurylpyrrole,15037.0,102.417
Wholewheat Bread,methanethiol,878.0,0.4465
Wholewheat Bread,Propyl acetate,7997.0,14.2416
Wholewheat Bread,Octan-2-one,8093.0,30.3053
Wholewheat Bread,Cianidanol,9064.0,7.7316
Wholewheat Bread,Maltol,8369.0,9.0827
Wholewheat Bread,2-Methylpentanal,31245.0,22.446
Wholewheat Bread,Pyrrolidine,31268.0,7.107
Wholewheat Bread,gamma-Nonanolactone,7710.0,7.6255
Wholewheat Bread,2-Methylbutanoic acid,8314.0,105.0577
Wholewheat Bread,"(2E,4E)-Octa-2,4-dienal (PubChem ID: 5283329)",,5.2557
Wholewheat Bread,Isobutyl Acetate,8038.0,16.0969
Wholewheat Bread,dimethyl sulfide,1068.0,0.2585
Wholewheat Bread,"trans,trans-2,4-Nonadienal",5283339.0,6.0837
Wholewheat Bread,thiamine,1130.0,9.7229
Wholewheat Bread,betaine,247.0,6.1367
Wholewheat Bread,2-Acetylpyrrole,14079.0,151.6316
Wholewheat Bread,CID 644104,644104.0,9.4046
Wholewheat Bread,1-Nonanol,8914.0,78.9552
Wholewheat Bread,1-Penten-3-Ol,12020.0,3.6356
Wholewheat Bread,Methyl propenyl ketone,637920.0,3.7947
Wholewheat Bread,Isobutyl Formate,10957.0,1.8521
Wholewheat Bread,Isobutyraldehyde,6561.0,98.7236
Wholewheat Bread,Isoamylamine,7894.0,7.4867
Wholewheat Bread,13679-70-4,61663.0,5.9029
Wholewheat Bread,Nonanoic Acid,8158.0,36.9742
Wholewheat Bread,Gallocatechin,65084.0,9.8451
Wholewheat Bread,(-)-Epicatechin (PubChem ID: 72276),,9.5241
Wholewheat Bread,Furfuryl methyl disulfide,62131.0,1.4701
Wort,2-Furaldehyde,7362.0,18.7112
Wort,Benzyl Acetate,8785.0,43.3828
Wort,"4-Propenyl-2,6-dimethoxyphenol",5352905.0,9.8689
Wort,2-Undecanone,8163.0,4.9452
Wort,Pentanal,8063.0,59.9228
Wort,stearic acid,5281.0,91.4923
Wort,4-Methyl-2-pentanone,7909.0,2.0822
Wort,6-Methyl-5-Hepten-2-One,9862.0,0.3656
Wort,Undecanoic Acid,8180.0,69.6496
Wort,4-Vinylphenol,62453.0,4.76
Wort,2-Tridecanone,11622.0,3.2543
Wort,5-Methyl-2-phenyl-2-hexenal,5370602.0,1.8484
Wort,2-Methyl-1-propanol,6560.0,193.5745
Wort,Vanillic acid,8468.0,68.3045
Wort,1-Octen-3-Ol,18827.0,1.7939
Wort,lactic acid,612.0,32.0497
Wort,2-Pentylfuran,19602.0,7.7105
Wort,indole,798.0,4.6673
Wort,Methyl Hexanoate,7824.0,22.4602
Wort,4-Methylthiazole,12748.0,0.1339
Wort,Tetradecanoic acid,11005.0,22.4003
Wort,2-Nonanone,13187.0,4.7508
Wort,vanillin,1183.0,3.3894
Wort,Methyl Nicotinate,7151.0,0.0836
Wort,Dimethyl disulfide,12232.0,0.0944
Wort,phenylacetaldehyde,998.0,18.1449
Wort,"3,3-Dimethylacrylic acid",10931.0,59.8141
Wort,Pyrrole,8027.0,2.9983
Wort,4-Methylpentanoic Acid,12587.0,57.4002
Wort,4-Decenoic acid,5282726.0,25.6359
Wort,2-Methoxy-4-vinylphenol,332.0,9.3196
Wort,"2,3,5-Trimethylpyrazine",26808.0,0.3403
Wort,phenol,996.0,5.2477
Wort,2-Methoxy-4-Methylphenol,7144.0,8.7691
Wort,Tiglic aldehyde,5321950.0,46.4755
Wort,Octan-2-one,8093.0,29.3471
Wort,Nerolidol,5284507.0,3.6165
Wort,Thiazole,9256.0,0.1814
Wort,lauric acid,3893.0,30.404
Wort,23747-48-0,32065.0,4.6613
Wort,Methyl octanoate,8091.0,33.6908
Wort,4-Hydroxybenzoic Acid,135.0,64.3492
Wort,octanoic acid,379.0,92.4136
Wort,gamma-Nonanolactone,7710.0,0.6126
Wort,Isoeugenol,853433.0,2.9175
Wort,dimethyl sulfide,1068.0,0.202
Wort,5-Methylfurfural,12097.0,8.8321
Wort,Isovaleric Acid,10430.0,80.3626
Wort,(E)-Hept-2-enal (PubChem ID: 5283316),,3.5001
Wort,2-Methylpyrazine,7976.0,2.9982
Wort,4-Ethylsyringol,61712.0,4.8107
Wort,2-Acetylpyrrole,14079.0,2.9274
Wort,3-Methyl-1-butanol,31260.0,206.6112
Wort,Methyl Nonanoate,15606.0,6.5731
Wort,Phenethyl acetate,7654.0,47.5553
Wort,oleic acid,445639.0,73.8239
Wort,4'-Hydroxyacetophenone,7469.0,3.0177
Wort,Phenylacetic Acid,999.0,9.7692
Wort,alpha-TERPINEOL,17100.0,3.5147
Wort,Nonanoic Acid,8158.0,14.3581
Wort,nerol,643820.0,4.7957
Wort,Methyl Linoleate,5284421.0,4.6125
Wort,3-Methylbutanal,11552.0,29.2678
Arrack,Propyl acetate,7997.0,12.9704
Arrack,Methyl Acetate,6584.0,0.8234
Arrack,benzaldehyde,240.0,49.1358
Arrack,Diethyl Succinate,31249.0,11.6489
Arrack,1-propanol,1031.0,281.4252
Beer,"(2E,4E)-Undeca-2,4-dienal (PubChem ID: 5367531)",,3.8994
Beer,Isoamyl butyrate,7795.0,5.3267
Beer,Octan-2-ol,20083.0,3.519
Beer,Isobutyl mercaptan,10558.0,4.0013
Beer,Isopentyl hexanoate,16617.0,30.5184
Beer,2-Methylbutyl Acetate,12209.0,26.6564
Beer,L-Malic acid,222656.0,82.859
Beer,2-Methylbutyraldehyde,7284.0,15.976
Beer,"(2E,4E)-deca-2,4-dienal (PubChem ID: 5283349)",,0.4129
Beer,3-methylthiopropanol,10448.0,158.4733
Beer,Ethyl Octanoate,7799.0,35.2637
Beer,2-Methyl-1-propanol,6560.0,449.078
Beer,Octyl butyrate,61030.0,52.5406
Beer,Violet leaf aldehyde,643731.0,29.1466
Beer,Vanillic acid,8468.0,59.7868
Beer,3-Hexanone,11509.0,0.1281
Beer,Isoamyl Isovalerate,12613.0,41.7606
Beer,Isopentyl benzoate,7193.0,36.6071
Beer,palmitic acid,985.0,81.3602
Beer,Ethyl Formate,8025.0,56.9817
Beer,2-Ethyl-5-Methylpyrazine,25915.0,0.407
Beer,Isobutyric Acid,6590.0,62.1813
Beer,Hexyl Butyrate,17525.0,91.982
Beer,Methyl Acetate,6584.0,58.3585
Beer,2-Nonanone,13187.0,1.9156
Beer,Pyrazine,9261.0,0.7855
Beer,gamma-Dodecalactone,16821.0,0.1361
Beer,Isopentyl formate,8052.0,13.419
Beer,"3,4-Dihydroxybenzoic Acid",72.0,28.3827
Beer,butyric acid,264.0,56.0513
Beer,glycerol,753.0,4.1427
Beer,Pyrrole,8027.0,0.9717
Beer,Ethyl trans-4-decenoate,5362583.0,2.1526
Beer,Xanthohumol,639665.0,2.9391
Beer,(-)-Epigallocatechin (PubChem ID: 72277),,3.6537
Beer,kaempferol,5280863.0,1.1066
Beer,Tiglic aldehyde,5321950.0,25.3962
Beer,methanethiol,878.0,0.4942
Beer,Propyl acetate,7997.0,68.7774
Beer,Octan-2-one,8093.0,3.4057
Beer,daidzein,5281708.0,0.8942
Beer,eugenol,3314.0,4.9194
Beer,1-Heptanol,8129.0,321.9886
Beer,Pyridine,1049.0,0.6827
Beer,Maltol,8369.0,1.4466
Beer,hydrogen sulfide,402.0,0.1942
Beer,Isovaleric Acid,10430.0,91.1527
Beer,2-Methylpyrazine,7976.0,1.3206
Beer,2-Acetylpyrrole,14079.0,1.0119
Beer,Ethyl Isovalerate,7945.0,85.9887
Beer,Sinapic Acid,637775.0,85.7759
Beer,1-Nonanol,8914.0,147.0401
Beer,CID 644104,644104.0,2.459
Beer,2-Heptanol,10976.0,441.0097
Beer,Isobutyl Formate,10957.0,82.7642
Beer,3-Hexenal,643139.0,2.3656
Beer,alpha-TERPINEOL,17100.0,3.3739
Beer,2-Pentanone,7895.0,4.5219
Beer,Phenethyl isobutyrate,7655.0,64.1828
Beer,3-Phenylpropanal,7707.0,45.4806
Beer,trimethylamine,1146.0,1.1663
Beer,Citronellol,8842.0,4.1921
Beer,S-Methyl hexanethioate,75515.0,4.0407
Beer,3-Methyl-2-oxobutanoic acid,49.0,94.1593
Beer,Delta-Nonalactone,18698.0,0.1325
Beer,Ethyl 3-(methylthio)propionate (PubChem ID: 61592),,39.9508
Beer,Isoamyl laurate,61386.0,4.1332
Beer,gamma-Decalactone,12813.0,0.3938
Beer,"2,4-dihydroxybenzoic acid",1491.0,95.1837
Beer,gamma-Heptalactone,7742.0,1.1822
Beer,Ethyl Butyrate,7762.0,21.4898
Beer,resveratrol,445154.0,4.082
Beer,Isopropyl Acetate,7915.0,70.321
Beer,1-Propanethiol,7848.0,0.2627
Beer,Phenylethyl isovalerate,8792.0,95.5496
Beer,Acetyl isobutyryl,24115.0,1.6961
Beer,Geranyl Acetate,1549026.0,89.6432
Beer,Damascenone,5366074.0,4.7242
Beer,1-octanol,957.0,241.1432
Beer,gamma-Caprolactone,12756.0,1.7578
Beer,"2,3,5,6-Tetramethylpyrazine",14296.0,0.9528
Beer,Heptanoic Acid,8094.0,78.1572
Beer,salicylic acid,338.0,92.2057
Beer,guaiacol,460.0,2.5434
Beer,Furfuryl Alcohol,7361.0,62.2916
Beer,Tetradecanoic acid,11005.0,28.21
Beer,vanillin,1183.0,2.1507
Beer,Methyl Nicotinate,7151.0,4.7461
Beer,Dimethyl disulfide,12232.0,0.454
Beer,Alpha-Phellandrene,7460.0,0.6295
Beer,2-Heptyl butanoate,529496.0,0.1792
Beer,trans-3-Hexenoic acid,5282708.0,96.1233
Beer,"2,3-Hexanedione",19707.0,3.8441
Beer,Ethyl 3-Hexenoate,5362622.0,4.367
Beer,Heptyl acetate,8159.0,27.1934
Beer,"2,3-Pentanedione",11747.0,2.7757
Beer,"2,3,5-Trimethylpyrazine",26808.0,0.1462
Beer,phenol,996.0,8.0451
Beer,1-Phenylethyl propionate,8432.0,55.8984
Beer,Heptyl formate,8169.0,76.2494
Beer,1-Furfurylpyrrole,15037.0,1.9105
Beer,3-Hydroxy-2-Pentanone,62484.0,0.9705
Beer,Phenethylamine,1001.0,4.0752
Beer,Cianidanol,9064.0,3.2691
Beer,Nerolidol,5284507.0,2.0329
Beer,S-Methyl thioacetate,73750.0,47.2757
Beer,"2,6-Nonadienal",636687.0,2.2098
Beer,Undecanal,8186.0,32.821
Beer,2-Ethylpyrazine,26331.0,0.4462
Beer,2-Acetylpyridine,14286.0,0.1393
Beer,Hexanoic Acid,8892.0,35.9254
Beer,Pyrrolidine,31268.0,2.8202
Beer,23747-48-0,32065.0,0.132
Beer,2-Ethyl-3-Methylpyrazine,27457.0,1.7597
Beer,Pentyl Hexanoate,10886.0,86.7458
Beer,dimethyl sulfide,1068.0,0.3731
Beer,Ethyl Heptanoate,7797.0,40.9779
Beer,Isobutyl Acetate,8038.0,26.2169
Beer,Isoeugenol,853433.0,2.3039
Beer,Syringaldehyde,8655.0,29.8245
Beer,Decanal,8175.0,41.2541
Beer,Phenethyl acetate,7654.0,9.7016
Beer,Salicylaldehyde,6998.0,33.1116
Beer,Isopentyl octanoate,16255.0,81.0245
Beer,"2-Ethyl-3,5-Dimethylpyrazine",26334.0,1.4669
Beer,Phenylacetic Acid,999.0,10.0391
Beer,Isobutyraldehyde,6561.0,0.3155
Beer,Isoamylamine,7894.0,1.0115
Beer,2-Phenylethyl hexanoate,61384.0,33.8533
Beer,Ethyl dodecanoate,7800.0,20.3145
Beer,Butylamine,8007.0,1.9159
Beer,4-Ethyl-2-methoxyphenol,62465.0,0.7507
Beer,naringenin,439246.0,0.0527
Beer,cis-3-Hexenal,643941.0,3.5971
Beer,(-)-Epicatechin (PubChem ID: 72276),,0.2543
Beer,Phenethyl butyrate,7658.0,81.7239
Beer,Ethyl tetradecanoate,31283.0,24.4436
Beer,trans-2-Hexenal,5281168.0,1.2222
Beer,2-Pentanol,22386.0,216.7944
Beer,1-Dodecanol,8193.0,219.1613
Beer,Pentanal,8063.0,45.2421
Beer,"4-Propenyl-2,6-dimethoxyphenol",5352905.0,3.8467
Beer,stearic acid,5281.0,84.2922
Beer,Isobutyl hexanoate,7775.0,11.283
Beer,4-Methyl-2-pentanone,7909.0,0.996
Beer,dimethyl sulfoxide,679.0,0.4388
Beer,Undecanoic Acid,8180.0,3.5699
Beer,6-Methyl-5-Hepten-2-One,9862.0,14.5332
Beer,1-Hepten-3-Ol,21057.0,4.6259
Beer,Diethyl sulfide,9609.0,0.1954
Beer,4-Vinylphenol,62453.0,9.6993
Beer,Tetradecanal,31291.0,48.2267
Beer,2-Phenylethyl octanoate,229888.0,27.6394
Beer,Prenylthiol,146586.0,0.0019
Beer,2-Heptanone,8051.0,4.1928
Beer,(-)-Epigallocatechin gallate (PubChem ID: 65064),,0.2988
Beer,19872-52-7,88290.0,0.9044
Beer,(-)-Epicatechin gallate (PubChem ID: 107905),,2.9616
Beer,quercetin,5280343.0,3.1623
Beer,1-Octen-3-Ol,18827.0,1.5102
Beer,3-(Methylthio)propionaldehyde (PubChem ID: 18635),,43.8035
Beer,2-Phenylethanol,6054.0,454.4528
Beer,Hexyl isobutyrate,16872.0,49.3232
Beer,"2,6-Dimethylpyridine",7937.0,1.4223
Beer,Isoamyl propionate,7772.0,20.8357
Beer,Octanal,454.0,45.1479
Beer,"2,3-Dimethylpyrazine",22201.0,0.2901
Beer,Thiamine Hydrochloride,6202.0,1.2725
Beer,Citronellyl acetate,9017.0,30.986
Beer,Nonanal,31289.0,28.3999
Beer,m-cresol,342.0,5.7128
Beer,2-Acetylthiazole,520108.0,0.3557
Beer,Dimethyl trisulfide,19310.0,0.2689
Beer,S-Ethyl ethanethioate,61171.0,3.098
Beer,3-(Methylthio)propyl acetate (PubChem ID: 85519),,35.1922
Beer,2-Hepten-4-One,5463238.0,22.7816
Beer,apigenin,5280443.0,0.196
Beer,phenylacetaldehyde,998.0,39.8112
Beer,2-oxobutanoic acid,58.0,87.3973
Beer,trans-2-Hexen-1-Ol,5318042.0,1.148
Beer,1-Decanol,8174.0,355.5113
Beer,Thiazole,9256.0,0.2859
Beer,2-Nonanol,12367.0,233.6311
Beer,lauric acid,3893.0,59.228
Beer,3-Hydroxypyruvic acid,964.0,66.6226
Beer,4-Hydroxybenzoic Acid,135.0,28.3767
Beer,octanoic acid,379.0,45.2366
Beer,cis-Jasmone,1549018.0,0.8196
Beer,5-Methylfurfural,12097.0,3.624
Beer,Pyruvic acid,1060.0,64.5598
Beer,thiamine,1130.0,3.8132
Beer,4-Ethylsyringol,61712.0,9.2034
Beer,3-Phenylpropanoic acid,107.0,3.0528
Beer,Isoamyl mercaptan,10925.0,0.5168
Beer,oleic acid,445639.0,41.0
Beer,3-Methyl-2-Buten-1-Ol,11173.0,2.3035
Beer,Ethyl Isobutyrate,7342.0,86.2686
Beer,Propionaldehyde,527.0,40.5291
Beer,Ethyl Nonanoate,31251.0,47.0129
Beer,1-Phenylethyl isobutyrate,569214.0,85.5407
Beer,Hexyl acetate,8908.0,97.1423
Beer,3658-77-3,19309.0,2.4807
Beer,Isopentyl isobutyrate,519786.0,98.4413
Beer,Benzothiazole,7222.0,0.0125
Beer,Decanoic acid,2969.0,59.8362
Beer,Gallocatechin,65084.0,4.8353
